director_name,Alma mater,Notes,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Christopher Nolan,University College London,,813,164,22000,23000,Christian Bale,27000,448130642,"['Action', 'Thriller']",Tom Hardy,The Dark Knight Rises ,1144337,106759,Joseph Gordon-Levitt,0,deception|imprisonment|lawlessness|police officer|terrorist plot,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701,English,USA,PG-13,250000000,2012,23000,8.5,2.35,164000
Andrew Stanton,California Institute of the Arts,,462,132,475,530,Samantha Morton,640,73058679,"['Action', 'Adventure', 'Sci-Fi']",Daryl Sabara,John Carter ,212204,1873,Polly Walker,1,alien|american civil war|male nipple|mars|princess,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738,English,USA,PG-13,263700000,2012,632,6.6,2.35,24000
Joss Whedon,Wesleyan University,,635,141,0,19000,Robert Downey Jr.,26000,458991599,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,Avengers: Age of Ultron ,462669,92000,Scarlett Johansson,4,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117,English,USA,PG-13,250000000,2015,21000,7.5,2.35,118000
Zack Snyder,ArtCenter College of Design,,673,183,0,2000,Lauren Cohan,15000,330249062,"['Action', 'Adventure', 'Sci-Fi']",Henry Cavill,Batman v Superman: Dawn of Justice ,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Gore Verbinski,"University of California, Los Angeles",,450,150,563,1000,Ruth Wilson,40000,89289910,"['Action', 'Adventure', 'Western']",Johnny Depp,The Lone Ranger ,181792,45757,Tom Wilkinson,1,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,English,USA,PG-13,215000000,2013,2000,6.5,2.35,48000
Zack Snyder,ArtCenter College of Design,,733,143,0,748,Christopher Meloni,15000,291021565,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",Henry Cavill,Man of Steel ,548573,20495,Harry Lennix,0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,English,USA,PG-13,225000000,2013,3000,7.2,2.35,118000
Joss Whedon,Wesleyan University,,703,173,0,19000,Robert Downey Jr.,26000,623279547,"['Action', 'Adventure', 'Sci-Fi']",Chris Hemsworth,The Avengers ,995415,87697,Scarlett Johansson,3,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,English,USA,PG-13,220000000,2012,21000,8.1,1.85,123000
Rob Marshall,Carnegie Mellon University,,448,136,252,1000,Sam Claflin,40000,241063875,"['Action', 'Adventure', 'Fantasy']",Johnny Depp,Pirates of the Caribbean: On Stranger Tides ,370704,54083,Stephen Graham,4,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,English,USA,PG-13,250000000,2011,11000,6.7,2.35,58000
Barry Sonnenfeld,New York University,,451,106,188,718,Michael Stuhlbarg,10000,179020854,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Will Smith,Men in Black 3 ,268154,12572,Nicole Scherzinger,1,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,English,USA,PG-13,225000000,2012,816,6.8,1.85,40000
Marc Webb,University of Wisconsin-Madison,,599,153,464,963,Andrew Garfield,15000,262030663,"['Action', 'Adventure', 'Fantasy']",Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2012,10000,7,2.35,56000
